id,identifier
1,LESS_THAN_OR_EQUAL_TO
2,LESS_THAN
3,EQUAL_TO
4,NOT_EQUAL_TO
5,GREATER_THAN
6,IN
7,GREATER_THAN_OR_EQUAL_TO
8,NOT_IN
